LONG H (cm),1976,1977,#1978,#1979,#1980,#1981,1982,#1983,1987,1988,#1991,1992,1993,1994,#1995,1997,1998,#2002,2003,#2004,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,16,0,0,0,57,0,0,0,16,32,0,6,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,58,0,269,22,34,0,83,0,0,0,274,0,0,42,15,39,0,0
25,0,0,0,0,0,0,0,0,32,0,0,19,35,0,0,1,0,0,54,0,325,205,43,30,14,1,4,0,347,14,21,79,214,133,0,0
28,0,0,0,0,0,0,2,0,83,0,0,5,10,0,0,15,72,0,22,0,130,167,30,86,126,29,56,0,143,33,128,138,350,426,0,2
31,0,0,0,0,6,0,9,0,127,4,0,0,0,0,0,49,77,0,28,13,3,16,1,110,154,123,170,0,434,0,277,673,233,612,2,13
34,0,0,0,0,1,0,37,0,34,27,0,0,4,0,0,34,9,10,148,54,28,0,0,37,80,110,29,37,1018,8,207,2267,541,1348,15,131
37,57.12588235,0,0,0,0,6,5,0,70,232,0,37,63,0,0,13,40,42,114,12,40,2,3,193,448,70,2,291,416,44,205,2648,310,1618,57,369
40,199.9405882,0,1,0,0,9,10,0,124,287,0,89,114,0,0,5,73,10,33,22,68,8,5,338,1064,96,6,96,171,77,685,2128,555,1724,200,538
43,599.8217647,13,1,0,1,22,34,0,77,96,0,189,85,6,0,11,43,0,2,0,222,56,33,547,725,241,46,561,165,110,851,2775,867,5287,882,491
46,1371.021176,39,6,0,12,28,103,0,81,150,0,176,205,44,0,28,121,0,1,0,130,107,43,444,424,316,84,1718,195,439,676,2539,2040,5661,3745,1404
49,1599.524706,51,8,0,2,28,179,0,100,122,0,134,306,40,7,60,130,0,0,0,121,84,21,151,130,358,218,1996,198,412,524,1966,2942,3753,5467,2343
52,1428.147059,43,2,8,0,21,159,3,49,46,0,130,296,67,46,25,32,0,3,0,70,141,30,171,182,154,331,3028,504,356,492,1126,2702,6140,5482,4013
55,228.5035294,36,0,11,0,4,42,1,13,17,0,78,215,83,31,12,5,0,48,0,29,167,48,562,376,56,92,1843,697,185,645,490,1436,8812,4440,5500
58,171.3776471,16,0,9,0,2,11,4,0,36,6,39,77,12,10,9,7,0,40,0,7,107,8,1077,282,71,18,404,1291,73,863,366,604,6677,2596,3882
61,57.12588235,7,0,1,0,0,2,4,0,73,5,29,15,0,1,2,8,0,2,0,5,117,0,672,263,15,34,145,572,66,201,266,74,1607,1321,674
64,0,3,0,0,0,0,0,15,0,29,1,4,6,0,0,1,1,0,0,0,1,123,0,331,271,0,45,56,210,14,31,68,0,200,316,134
67,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,18,0,267,123,1,16,8,33,4,0,0,1,12,26,11
70,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,15,0,0,0,7,0,0,0,0,2,6,0
73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
